Designer,Color,Description,Size,Price,Opening_Stock
Roberto Carvalli,,Gold round head,,300,1
Calvin Klein,,Black belt,,80,1
G-Star Raw,,Blk belt,,120,2
Galliano,,Silver love shaped logo,,150,1
Off-White,,Blk belt,,250,1
Calvin Klein,,Blk Belt,,80,1
Diesel,,Lost in focus,,120,1
Fendi,,Blk belt,,320,1
Timberland,,Blk belt,,120,1
Calvin Klein,,Brown with Ck on leather,,70,1
Bottega Vaneta,,Brown belt/round silver head,,350,1
Coach,,Blk belt,,150,1
Paul Smith,,Blk jean belt,,100,1
Diesel only,,Brown belt,,120,1
Timberland,,Brown belt,,120,1
D&G,,CowHead Blk belt,,350,1
MCM,,Blue belt With Sq silver head,,220,1
Louboutin,,Blc/Red Belt,,400,1
Eagle Star,,Blk Belt,,100,1
Bottega Vaneta,,,,650,1
Versace,,Crystal crown,,375,1
Hugo Boss,,Brown belt,,100,1
Ralph Lauren,,Blk belt,,100,1
Tommy Hillfiger,,,,80,1
Micheal Kors,,Double Sided belt,,80,1
Coach,,Grey belt/Black head,,150,1
Love Moschino,,Gold head,,250,1
Ralph Lauren,,Blk belt,,80,1
Just Cavali,,Blk Belt,,180,1
Just Cavali,,Gold round head,,200,1
CK,,Eagle Belt,,80,1
CH-copy,,head Belt,,80,1
Steffano Richie,,,,2500,1
