Designer,Color,Description,Size,Price,Opening_Stock
D&G,Black,D&g logo in circle,,160,1
Calvin,Grey,Grey calvin,,30,1
Dsquared2,Blue,Icon in yellow,,150,1
Dsquared2,Blue,DSQUARED round,,150,1
Dsquared2,Red,DSQUARED round,,150,1
Dsquared2,Blue,Route 64 D2 Sunshine,,160,1
Dsquared2,Blue,Brotherhood,,125,1
Dsquared2,Red,Big Dsq desc. in a box,,125,1
Steffano ricci,Royal Blue,eagle,,275,2
Iron & Resin,Black,Anchor logo,,60,1
Amiri 3star,Black,3stars,,350,1
Balenciaga,black,BB logo in front,,150,1
Valentino,Camo,VLTN,,160,1
Palm Angels,Black,Palm angels city,,180,1
Balenciaga Paris,Black,pons,,260,1
Amiri,Black,Rabbit ear design,,220,1
D&G,Black,D&g logo in box,,260,1
Steffano ricci,Black,Stud eagle eye,,350,1
Steffano ricci,Blue,Stud eagle eye,,350,1
Fendi,Blue,Bold Fendi logo in white,,240,1
Billionaire,Blue,Billionaire logo in front,,225,1
Converse All Star,Blue,Shoe design,,50,1
Lacoste,Cream,Lacoste logo in front,,50,1
Lacoste,Black,Lacoste logo in front,,50,1
Steffano ricci,Cream,eagle,,325,1
Balmain,Red,Balmain in black box,,0,1
Lacoste,camo,camo cap,,40,1
Lacoste,Khaki,Khaki cap,,50,1
Stetson,black,Sunset cap,,25,1
stetson,black,car design,,25,1
Karl,red,karl logo cap,,90,1
Moncler,grey,MC Tonal logo cap,,199,1
Moncler,black,double logo cotton,,220,1
Moncler,blue,double logo cotton,,220,1
Moncler,Brown,Wing design,,170,1
