Designer,Color,Description,Size,Price,Opening_Stock
Billionaire,Grey,Crest Pocket,46,350,1
Billionaire,Blue,Trouser/jean,38,300,1
Billionaire,Blk/Grey,Crest pockt,32,300,1
Billionaire,Black,Snake skin,42,350,1
Billionaire,Grey,BD logo,38,350,1
Billionaire,Navy Blue,Fox,34,350,1
Steffano Ricci,Blue,,40,450,1
Steffano Ricci,Blue,Eagle,42,400,1
Steffano Ricci,Black,Eagle,40,400,1
Steffano Ricci,Black,Eagle,35,350,1
Steffano Ricci,Skyblue,Strip,42,350,1
Chrome Hearts,Black,Plain,35,495,1
Chrome Hearts,Black,Plain,35,495,1
Chrome Hearts,Blue,Chinos,36,350,1
D&G,Navy Blue,Crest pocket,38,350,1
D&G,Blk/grey,Crest pocket,38,425,1
D&G,Blk/grey,DG Pocket,33,375,1
Prada,Skyeblue,Plain,40,350,1
Prada,Black,Plain,40,250,1
Prada,Blck,Plain,36,350,1
Jacob Cohen,Blk/Grey,,33,550,1
Jacob Cohen,Skyblue,,32,450,1
Jacob Cohen,Navy Blue,,31,450,1
AG,Navy Blue,Leather,42,450,1
AG,Grey/blk,Leather,38,450,1
AG,Black,Leather patches,36,350,1
Brioni,Blk/Grey,B Jeans,38,450,1
Louis Vuiton,blk,Fragile,36,450,1
Louis Vuiton,,Pocket Embroidery,33,380,1
Valentino,Blk/shids,,38,295,1
Valentino,Navy Blue,,38,250,1
Loewe,Navy Blue,simple,40,350,1
Loewe,Royal blue,,35,350,1
Dior,Blk/oiled Shine,,34,450,1
Zegna,Black/Navy,,36,450,1
Fendi,Grey,monster pocket,34,350,1
Jmanglani,Royal blue,,36,425,1
Versace,Blk,Crested pocket,32,350,1
Givenchy,Blk,distressed,36,295,1
Burberry,Blue Navy,Plain,36,320,1
McQueen,Blk,Plain,38,425,1
Gucci,Blk,turn up GG,34,325,1
Kenzo,Royal blue,tiger,33,180,1
Moncler,grey,logo pocket,34,320,1
Diesel,Royal blue,,36,295,1
Diesel,Jet Black,,36,295,1
Armani Jeans,blue,GA,40,120,1
Roberto Cavalli,Blk,Class,38,220,1
Roberto Cavalli,Blk,Gold,38,220,1
YSL,Navy Blue,zips,34,375,1
YSL,Navy Blue,zips,34,375,1
Zilli,Navy Blue,Lion pocket,40,400,1
Zilli,Navy Blue,Lion pocket,33,400,1
Zilli,Sky Blue,Z pocket,40,350,1
Zilli,Sky Blue,Z pocket,36,350,1
