Designer,Color,Description,Size,Price,Opening_Stock
D&g,Black,D&G Combats joggers,M,450,1
Neil Berret,Black,blackBasketball Joggers,L,360,1
Moncler,Black,Moncler with stripes on the sides,L,280,1
loewe,Black,Plain joggers with logo,L,350,1
Fendi,Black,Yes Fendi design,m,320,1
Moncler,Grey,Plain with red white blak stripe at the waist,xl,350,2
Moncler,Grey,Long plain Jogers with side and back pocket,L,280,1
Palm Angels,Blue,Blue plain joggers,L,350,1
Gucci,Blue,Plain with red & black stripe at the sides,XL,400,1
Ami,Grey,heart A joggers,,220,1
