Designer,Color,Description,Size,Price,Opening_Stock
Aqcua di Parma,,Note Di Colonia,,500,1
Boadecia,,Boadecia king,,400,2
Boadecia,,Boadecia hero,,450,1
Boadicea,,Boadicea Adventures,,450,1
Christain Dior,,Oud Ispahan,,600,1
Iberian leather,,Memo,,250,0
Argentina Memo,,,,250,1
Madurai MEMO,,,,225,1
ROJA,,Elysium ROJA,,275,1
Acqua celestia,,,,225,1
Bond No.9 musk,,,,380,1
Rosend,,No.2,,220,1
Rosendo,,No. 3,,0,0
Rosendo,,No. 4,,220,1
Rosendo,,No. 5,,250,1
Rosendo,,No. 6,,0,0
Rosendo,,No. 7,,220,2
Creed,,Viking Cologne,,275,1
Creed,,Himalayan,,325,1
Creed,,Centaurus,,350,2
BYREDO,,Black Saffron,,250,1
Histoires,,de perfume,,200,1
Falcon leather,,Matiere Premiere,,350,1
500 years,,Etat libre o'Range,,225,1
VISA robert piguet,,,,220,1
Van clef & arpels,,Moonlight Patchouli,,220,1
Tom Ford,,Black Orchid,,160,1
TOM FORD,,neroli portofino,,300,1
Missioni edp,,Parfum pour homme,,120,1
montale Paris,,Aoud Night,,150,1
Ralph Lauren,,Ralph's CLUB,,125,1
AMBER,,Stronger with you,,180,1
Boss,,Bottled Elixer,,125,1
Bad boy,,Carolina Herrera,,110,1
Banana Republic,,Tobacco & Tonka Bean,,60,1
Banana Republic,,Oud mosaic,,60,1
FLORIS,,Mahon leather,,150,1
TED baker,,Skinwear,,40,1
YSL,,L'Elixir,,160,1
Tkosmala,,Super Amber,,250,1
Tkosmala,,No4 Sport,,200,1
Thomas Kosmala 12,,,,200,0
Celine Paris,,,,350,1
Cuir InfraRouge,,,,250,1
Milano Fragrance,,BRERA,,200,1
Milano Fragrance,,La Prima,,200,1
Sapphire collections,,WIDIAN,,325,1
off-white no. 1 Paper work,,,,220,2
Montblac,,Black Meisterstuck,,125,1
Carolina Herrera,, Mystery Tobacco,,320,1
Nishane,,Hundred silent ways X,,300,1
Nishane,,Hacivat X,,300,1
Acqua Di PARMA,,Oud & Spice,,350,1
SUPERFLUIDE,,Saffron,,350,1
SUPERFLUIDE,,Rosewood,,350,1
Hugo Boss,,,,150,0
Mancera,,Cedrat Boise,,120,1
Tiziana Terenzi,,Kirke,,250,2
POLO ralph lauren 67,,Ralph lauren EDT,,125,1
FERRAGAMO,,Red leather,,110,1
FERRAGAMO,,Intense leather,,150,1
VERSACE,,Eros energy,,150,1
JPG Jean Paul Gaultier,,Scandal,,110,1
1Million Rabbane,,Golden Oud,,160,2
1Million Paco rabanne,,Royal,,120,1
Valentino,,Born in Roma,,120,1
Bioni,,Eclat,,150,2
Bioni,,Intense,,160,1
The Machant of Venice,,Byzantium Saffron,,225,1
The Machant of Venice,,Ottoman Amber,,225,1
Gucci,,Guity,,150,1
Casamorati,,,,250,1
H24,,hermes,,150,1
Dolce & Gabbana Light blue,,,,150,1
Kenzo,,L'EAU 2,,80,1
Prada,,louna risa sport,,160,1
Dior,,Sauvage Elixr,,250,2
Dior,,Sauvage perfum,,225,1
Calvin Klein,,Summer Daze,,60,1
Clive Christian,,,,600,1
