Designer,Color,Description,Size,Price,Opening_Stock
Maybach,,Big aviators,,950,1
Maybach,,Golg Squared,,900,1
Maybach,,Gold Oval,,850,1
Maybach,,Silver aviators,,850,1
Maybach,,Gold Hexagon,,900,1
Maybach,,Silver/blk Aviators,,800,1
Maybach,,Small Sq Blk/Gold,,950,1
Dita,,Condor Malte Gold,,550,1
Dita,,Lancler BLK,,450,1
Dita,,Grandmaster 2,,600,1
JMM ,,Big Aviators,,0,1
JMM ,,Blk Sq/Blue lens,,0,1
JMM ,,Brown Wayfarer,,0,1
JMM ,,Blk Sq/Red lens,,0,1
Dita,Ambassador,,,600,1
Dita,Decade two,,,650,1
Dita,match six,,,550,1
Marome hearth,Aviators,,,650,1
Chrome Hearts,Small Sq,,,650,1
Balmain,, by Akone Sq,,750,1
Balmain,Blk/silver Sq,,,550,1
Balmain,Blk Big Sq,,,600,1
DYNE,onepice Aviators,,,350,1
Bottega Veneta,aviators,,,550,1
Dior,Blk WayFarer CD,,,450,1
Balmain,Aviators,,,450,1
Dior,Aviators CD Lens,,,650,1
Dior,Brown/Blk Diamond,,,650,1
Dior,light Silver Aviators,,,450,1
Dior,Gold 'TF' Aviators,,,350,1
Dior,Gold half Rem Aviators,,,450,1
Dsquared,Gold Aviators,,,350,1
LF/KVAsche,Brom/Gold,,,450,1
LF/KVAsche,Round Gold,,,450,1
Phillipp Pleen,perfect aviators,,,375,1
Fendi,Grey/Silver Aviators,,,350,1
Fendi,Brown/Shell Aviators,,,450,1
Gucci,Gold Bamboo Aviators,,,1000,1
Gucci,Blk/Brown double,,,475,1
Gucci,Gold Sq/Rubber nose,,,275,1
Gucci,Brown Sq Dapper Dan,,,450,1
Gucci,Brown turtle shell,,,350,1
LV,wayfarers  Blk,,,390,1
Maybach,Blk Aviators,,,850,1
Cenitti 1881,Oval turtle,,,150,1
Prada,Gold Sq/hand,,,350,1
Prada,Blk Sq / Big hands,,,380,1
Dita,White&Gold,Sq Matchone,,550,1
Cartier,Black,Aviators,,600,1
Bvlgari,Gold,Aviators/Brown,,450,1
CD,Blue,Tiny hand oval,,320,1
Celine,Black,Wayfarers,,310,1
Montblanc,Black,Black Oval light frame,,320,1
Dior,Brown,Wayfarers,,550,1
Dior,Black,Wayfarers,,550,1
Dior,Black,Slim Explorer,,450,1
Fendi,Black,Whale hand,,220,1
Gucci,Gold,Aviators/yellow hands,,240,1
Gucci,Black,Aviators/Gold Studs,,350,1
Gucci,Silver,Bee Hands,,220,1
Gucci,Gold,Aviators/Pilot,,280,1
Gucci,Grey,Square Aviator,,295,1
Gucci,,Aviators/Pilot/Brownbar,,280,1
Gucci,,Clubmasters/brown lens,,260,2
Gucci,Gold,Aviators/yellow hands,,240,1
LV,Silver,Hexagon,,560,1
Lv,Black&Gold,Rectangle,,550,1
Montblanc,Black&Gold,Rectangle,,320,1
MiuMui,Brown,Brown rectangular shape,,280,1
Alex Wang,Black/Gold,Pentagon,,220,1
Jaques marie,Black/Grey,Blk&grey rectangular,,750,1
Prada,Brown,Brown rectangular,,350,1
