Designer,Color,Description,Size,Price,Opening_Stock
POLO,blue&white,Skyeblue &white stripes,,0,1
Thom Browne,White,white with polo designs,,0,1
Moncler,White,1952 design,,0,1
Thom Browne,Blue-black,Plain tshirt,,0,1
Gucci,Brown/grey,FASHION design,,0,1
Gucci,skyeblue&white,,,0,2
Gucci,Grey,flower design,,0,1
Gucci,Black,red rose flower,,0,1
Givenchy,Black,Red lips,,0,1
Y3,Black,,,0,1
Alexander Macqueen,White,arm belt desihn,,0,1
Neil Barrett,Black,Star design,,0,1
Dsq,Denim,,xxl,0,1
Dsq,Denim,Denim with writings,xl,0,1
Dsq,Denim,Dark grey/black denim,xxl,0,1
