Designer,Color,Description,Size,Price,Opening_Stock
Bilionaire,Shades of BlueBlack,Navy/blue stripes/crest,m,250,1
Berluti,white,polo badge,xl,400,1
Burbbery,Navy blue,Red polo,xxl,350,1
Burbbery,White,Orange crest,xxl,325,2
Burbbery,Black,cloud/Rain/Rainbow crest,xl,250,2
Burberry,black,Playboy logo,xxl,295,1
Burbery,Grey,Simple TB,xxl,295,1
Burbery,khaki/cheque/blk,,xl,320,1
Fendi,Black,Red logo sign,xl,325,1
Moncler,Red,chest crest,xl,220,1
Moncler,white,pocket logo arm,xxl,220,1
Moncler,Black,US Star chest,,220,1
Moncler,Navy blue,Red polo,s,220,1
Dior,Grey,love crest logo,xxl,450,1
Dior,white,Elephant crest logo,,450,1
Dior,Black,colored bees,m,350,1
Louis Vuitton,Skye Blue,,xl,400,1
Louis Vuitton,Skye Blue,,l,400,1
Louis Vuitton,White&Red,,l,550,1
Gucci,White,Red flag pocket,xxl,350,1
Gucci,Black,Red flag pocket,xxl,350,1
Gucci,Black,G logo,m/l,250,1
Versace,Black,Gold thread on polo,l,280,1
Versace,Black,gold embroidery medusa,xl,400,1
Balsedarini,wine,cashmere,xxxl,390,1
Zegna,Blck,Zip simple,l,250,1
Zegnan,Olive green,,2xl,180,1
Loewe,Blue stripes/logo,,xl,280,1
Loewe,Blue stripes/logo,,l,280,1
Valentino,camo multicolor,,m/l,300,1
Prada,Skyblue,small crest,xl,325,2
Prada,Grey,sky blue polo,xl,250,1
Dsq,Navy,top to bottom logo,m,250,1
Marcelo Bulon,blk,Wings shoulder,xl,260,1
Givenchy,Black,design at arms,s,250,1
Boss,Grey,simple crest chest,xl,180,1
YSL,Black,3badges,xl,325,1
YSL,Black,white trimming,,295,1
