Designer,Color,Description,Size,Price,Opening_Stock
Lesaund,Black,Loafers,41,250,1
Timberland,Brown,Sneekers,45,250,1
Burberry,,Check Sneekers,44,650,1
Billionaire,Black,Sneeekers,43,700,1
Prada,Black,Brogues,44,950,1
Ferragamo,,work shoes,42,600,1
Todds,,Chuky Brogues,45,790,1
Amiri,,Sneekers,43,650,1
Roberto Cavali,,Slides X,44,400,1
Roberto Cavali,,Slides X,46,400,1
Bottega,creame,leather shoe,40,680,1
Bottega,Creame,Suede shoe,41,550,1
Givenchy,,Star Slides,43,280,1
Philip plein,Black,sneakers,43,450,1
Amiri,White,Bone sneakers,45,650,1
Amiri,Black,Sneekers,44,700,1
Valentino,White,High lips,44,800,1
Berluti,,Moc crocs sneakers,45,950,1
Martine Rose,Black,Half Shoe,44,550,1
Balenciaga,Black,Foot Slides,44,650,1
Billionaire,,X slides,45,650,1
Bruno Cuccinelli,Black/brown,sneekers,43,900,1
Prada,,Moc Crocs slides,44.5,700,1
Bottega Veneta,Black,loafers,44,550,1
McQueen,,Shidded leather slides,44,450,1
Ferragamo,,Daddy Skin shoe,45,600,1
Balenciaga,,Rubber Sneakers,43,600,1
Dior,Black/white,Sole sneakers,43,750,1
MCm,Black,Buckle Slides,43,450,1
Pacciotti,Brown,Moc Crocs Sneakers,44,350,1
Bottega Veneta,Black,Thongs,44,400,1
Bottega Veneta,Red,Thongs,43,400,1
Dior,Black,CD leather slides,43,950,1
TB,Black,Leather slides,45,750,1
Gucci,Black,GG Slides,44,350,1
Thome Brown,,Thong flip flop,42,210,1
Palm Angels,,V/Lowe Slides,43,150,1
Loubouton,,Rubber X Slides,44,450,1
Roberto Cavali,,X leather slides,44,400,1
Balenciaga,,Studded Slides,44,900,1
Roberto Cavali,,X leather slides,43,400,1
McQueen,,Sole studded slides,44,400,1
Fendi,,Thongs Flip flop,44,220,1
Valentino,Black,VLTN Slides,45,550,1
D&G,Black,DG toe slides,44,350,1
Prada,,Yelloe whale slides,43,270,1
Fendi,Blk/Brown,Thongs,44,310,1
Fendi,Red,Chunky Slides,44,450,1
Tods,Blue,Rubber Slides,44,250,1
Versace,,Medusa Slides,43,350,1
Wolfe,Blue,Rubber slides,45,180,1
Burberry,,Plain Slides,44,380,1
Jordan,Orange,Half Shoe,44,110,1
DG,,King/Crown Slides,44,280,1
Dsquared,Black,Icon Slides,44,220,1
McQueen,Black,graffith,44,360,1
Dsquared,,SQUAred Slides,43,220,1
Roberto Cavali,White,sneekers,44,550,1
Loewe,,X Sandals/stap,43,750,1
Loewe,Navy,L sneakers,44,875,1
Bottega Veneta,,X weave slides,45,650,1
Bottega Veneta,,X weave slides,,650,1
Marcelo Burlon,,Feather slides,44,180,1
Fendi,White,FF sneakers,45,650,1
Fendi,Black,Ruber slides,44,310,1
Toga Vinlis,Black,Slides,44,350,1
Nautica,Blue,Crocs,44,80,1
Versace,White,Sneakers,44,650,1
New Balance,creame,Sneakers,45,180,1
FENTY/Adidas,,Sneakers,43,180,1
Balenciaga,,Languages slides,44,350,1
Prada,,Chunky Loafers,42,1100,1
Calvin Klein,,half shoe mules,44,110,1
Dsquared,Blue,slides,43,220,1
Balenciaga,,Tyre Slides,44,550,1
Puma,,Half shoe,45,0,1
Ferragamo,,Chunky Light,42,850,1
Bottega,,Dress Shoe,45.5,950,1
Rick Owen,,Half shoe,45,450,1
Maison Margiela,,Toe Shoe,45,650,1
Dior,,Quilted leather shoes,45,950,1
Loubouton,Blue,Sneakers,42,800,1
