Designer,Color,Description,Size,Price,Opening_Stock
Fendi,Brown,FF design Brown velvet,S,220,1
Off-white,Black,OFF design,L,230,1
D&G,Green,Jungle green short,xl,180,1
Polo club,Navy/white short,POLOCLUB& US flag,2xl,60,1
Springfield,Blue,Flower shorts,2xl,40,1
Springfield,Blue,Lemon & Orange short,xl,40,1
Berkley Jensen,Blue,Shark Shorts,2xl,60,1
Springfield,Blue,tree bicycle umbrella design,L,40,1
D&G,Black&white,,xl,260,1
Prada,Black,018 logo Shorts,L,220,1
Armani exchange,Skyblue,Anchor Shorts,,60,1
D&G,Black,Black nylon shorts with DG logo,M,220,1
Prada,Black,Red Prada logo shorts,Xl,180,1
Givenchy,Black,Givenchy black boxer shorts,L,210,1
Gucci,Red,Red jogger shorts,xl,260,1
Dior,White,Dior logo,xl,320,1
D&G,Black&white,with d&g color,xl,260,1
Lacoste live,Grey,croc logo shorts,L,70,1
Thome Brown,Grey,3 stripes Shorts,S,650,1
Thome Brown,Grey,plain with Zip on the sides,m,650,2
