Designer,Color,Description,Size,Price,Opening_Stock
Kenzo,Army green,Tiger head,L,180,1
Burberry,Brown,Brown white&black stripe sweater,M,380,1
Kenzo,Green,Tigers sweater,2XL,180,1
Thome Brown,SkyeBlue,TB Hoodie,L,600,1
Thome Brown,SkyeBlue,TB Hoodie,M,600,1
Neil Barrett,Green&Brown camo,,XL,280,1
Dsquared2,Navy Blue,Ball design sweater,XL,350,1
Alexander MCQueen,Grey,Vneck McQ Sweater,L,790,1
Givenchy,Grey,Stars Sweaters,L,550,1
Moncler,Grey,Plain with moncler pocket,XL,0,1
Mercelo Burlon,Blue/Grey,JKT sweater,,600,1
Casablanca,Multicolor,jacket,,980,1
Diesel,Black,Embroidery jacket,,250,1
Balenciaga,grey,Denim jacket,,950,1
Valentino,Army Green,Studded jacket,,700,1
Fendi,Black,Fendi sweat top,,550,1
Off-White,Blue,denim shirt,L,450,1
Prada,Red,Windbreaker,,400,1
Louis Vuitton,Camo,Windbreaker,,800,1
Fendi,Black,Tracksuit top,,600,1
Fendi,Green,Hoodie,,750,1
D&G,Black&white,jacket,,1100,1
Burberry,Grey,Tracksuit,,800,1
Off-White x Moncler,Black,Hoodie,,350,1
Amiri,Black,Hoodie,,880,1
Burberry,Blue,SW1 denim jacket,,850,1
