Designer,Color,Description,Size,Price,Opening_Stock
Olympiea,,Intense,,120,1
Olympiea,,Solar,,120,1
Olympiea,,Legend,,125,1
MAJESTY,,Nicki minaj,,60,1
First Love,,Victorias Secret,,75,1
D & G,,Light blue love &love,,120,1
Jean Paul Gaultier,,SCANDAL A Paris,,135,1
NARCISO,,for her,,140,1
NARCISSO,,All of me,,140,1
Gucci,,Bloom,,140,1
HUGO BOSS,,Alive Intense,,140,1
D & G,,Devotion,,135,1
MOGLER,,Allien Goddess,,140,1
Paco Rabanne,,FAME,,120,2
RIHANNA,,Rogue Love,,60,1
JIMMY CHO,,I WANT CHO forever,,120,1
JIMMY CHO,,I WANT CHO,,110,1
STALLION,Zimalaya,,,0,1
BANANA Republic,,Peony& Peppercorn,,60,1
Elizabeth Arden,,SUNFLOWER,,40,1
Keneth cole,RSVP,,,0,0
Keneth cole,BLUSH,,,75,1
Beautiful Sheer,,,,90,1
Bonanza Satrangi,Make me blush,,,0,1
MithQal,MithQal EDP,,,0,1
Oak,Statement,,,0,1
CK one,Red edition,,,0,1
Miguel Mara,MM,,,0,0
Sarah Jessica Parker,BORN LOVELY,,,0,1
Christina Aguilera,,No.1 edp,,40,1
DKNY,,Nectar Love,,60,1
Burberry,Garden Roses,,,0,1
Guerlain,La letite Kobe noine,,,0,2
