Designer,Color,Description,Size,Price,Opening_Stock
Bvgari Ladies,Oval Brown,,,300,1
Chopard,Silver,Sq /Heart,,320,1
Gucci,Oval Blk / green,,,220,1
Gucci,Brown,Sq/ GG,,220,1
Loewe,Green,Hexagon,,,120,1
El Hardy,Brown / Dragons,,,150,1
Chanel,Black,big rectangular light,,380,1
Chanel,Brown,square turtleshell,,380,1
Gucci,Black,cat eye,,320,1
Gucci,Black,square with gold logo,,350,1
Fendi,Light gold,with oval shape,,400,1
Jimmy Choo,Black,cat-eye with crystals,,260,1
Loius Vuitton,Light gold,aviator,,450,1
Prada,white,square,,350,1
