Designer,Color,Description,Size,Price,Opening_Stock
Fendi,,Black with stones,,0,1
,,Wolf eyes,,0,1
Paul Smith,Black leather,,,0,1
Diesel,,Black industry denim division,,0,2
,,Blue,,0,1
Burberry,,Black leather,,0,1
Gucci,,Black with bee logo,,0,1
Burberry,,Brown leather,,0,1
Mont Blanc,,Black leather,,0,1
Calvin Klein,,Black leather,,0,1
Armani Xchange,AX,,,0,1
Armani jeans,AJ,,,0,1
Ted Baker,,Brown leather,,0,1
Hugo Boss,,Black leathergold metal,,0,1
Bottega Venetta,,Blue black lether,,0,1
Dunhill,,Black leather,,0,1
