Designer,Color,Description,Size,Price,Opening_Stock
D&G,Brown,love & crown,,550,1
D&G,Blue,love & crown,,550,1
Fendi,Black,Fendegraphy,,450,1
Fendi,,Round F lens,,350,1
Fendi,,FendinGold Sq/Stones,,400,1
Fendi,,One piece Aviators,,350,1
Valentino,,Hexagon/Stones,,380,1
Gucci,Black, Oversized,,380,1
Gucci ,Gold,Gold Aviators/pink,,320,1
Gucci ,Black/red,Sq Blk/Red hands,,320,1
Gucci,Green,Butterfly,,350,1
Gucci,Black,Round wrap GG,,300,1
Dior ,White, J'ador,,350,1
GentleMonster ,Pink,Aviators,,275,1
Balenciaga,Black,Square,,325,1
Versace,Black,Big Sq/medusa,,350,1
Versace ,Red,Cateye,,250,1
Prada,Black,Square,,380,1
Gucci ,Gold,Reamless/Gold hands,,325,1
Lfarrow/PaccoR ,,Big Oval,,200,1
Tom Ford ,,one piece,,280,1
Linda Frame ,Black,Wayfarers,,275,1
Roberto Cavali,Gold,Oval/Sq,,220,1
Dior ,Black, 'Miss Dior' Sq,,325,1
Anna Karin Karlsson,Silver,Crystals/Windscreen/Big rectangle,,550,1
Burberry,Yellow,Burberry big yellow rectangle,,220,1
Burberry,Black,Burberry Black round Oversized,,240,1
Burberry,Blue,Burberry Big blue rectangular lens,,220,1
Bvlgari,Black,Bvlgari Round small lens,,350,1
Bvlgari,Gold,Bvlgari gold sq/stones arrow,,400,1
Bottega Vanetta,Gold/Black/Grey,Bottega Veneta Big oval lens with long-curved hand,,450,1
Celine,Ashy Gold,Celine Round small lens,,300,1
Celine,Pink,Celine pink Rectangle lens,,220,1
C Dior,White,Aviators/Reflectors,,350,1
C Dior,White,Aviators white/Silver hands,,350,1
Channel,Gold/Grey,Channel round chain,,450,0
Channel,Gold/brown,Channel Rectangle/Red hands/Chain,,550,1
Channel,Gold,Chanel gold round/brown chain,,450,1
Channel,Silver,channel square/chanel pattern,,450,1
Channel,Gold,Chanel gold round solid,,500,2
Channel,Black,Cateye/white hands,,400,1
Channel,Black,Oversized/ Gold chanel logo,,550,1
Channel,Gold,Chanel gold round with brown lens,,450,1
Channel,Black/gold/silver,Aviators reflectors,,400,1
Chloe,Gold,Chloe oval big lens,,280,1
D&G,Gold,Aviators/Dg hands,,280,1
D&G,Black,D&G rectangle with flower hands,,320,1
D&G,Gold,Windscreen ,,350,1
D&G,Black,Cateye/Gold hand/Dg Stones,,280,1
Dior,Silver/multicolor,Oval/Cateye,,280,1
Dior,Black/gold/silver,Dior Oval,,350,1
Dior,Gold,Hexagon,,350,1
Fendi,Brown,Fendi windscreen,,280,1
Fendi,Gold,Lens Aviators,,320,1
Fendi,White/Gold,Half shape,,280,1
Fendi,Brown,Turtleshell Clubmaster/white hands,,220,1
Ferragamo,Black,oversized/ Gold hands,,280,1
Ferragamo,Black,Cateye turtleshell/gold logo,,260,1
Gentle Monster,Black,Cateye Black/Gold hands,,350,1
Gentle Monster,Gold,Cateye/Pink lens,,350,1
Gucci,Gold/red/blue,Rectangle big screen,,220,1
Gucci,Black,Hexagon Big ,,380,1
Gucci,Black,Oversized/Gold hands & Chain,,500,1
Gucci,Brown,Turtleshell Oversized chain,,500,1
Gucci,Black,Stones with big rectangle ,,450,1
Gucci,Black&White,GG round ,,220,1
Gucci,Gold,Sq big/Chain hands,,280,1
Gucci,Gold,Red Shine Hexagon/Gold,,280,1
Gucci,White & Gold,Big Round Oversized,,350,1
Gucci,Black & Gold,Sq Oversized,,350,1
Gucci,Gold,Big Kite/Pink hands,,260,1
Gucci,Black,Windscreen/Shield,,380,1
Gucci,Gold,Square/Stripe hands,,240,1
Gucci,Gold,Small Hexagon/bee hands,,260,1
Jimmy Choo,Brown,Oval Shiny brown,,180,1
MiuMui,Red,Red Cateye,,180,1
Robert Cavali,Black,Cateye,,320,1
Robert Cavali,Brown,Cateye Turtleshell,,320,1
Saint Lauren,Brown/Gold/Creame,Betty,,355,1
Thome Browne,Pink,Round Half/Gold,,550,1
Thome Browne,Pink,Windscreen big,,550,1
Versace,Gold&White,Aviators,,380,1
Valentino,Gold,Hexagon/Yellow lens,,350,1
Valentino,Gold,Hexagon light/blue lens,,350,1
